Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
PJM_Rest_natural_gas_fired_combined_cycle_1,11,2666.1,6.100461100971009e-9,0.0,2666.099999993899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJM_Rest_natural_gas_fired_combined_cycle_2,11,34542.8,4.365934745983935e-9,0.0,34542.79999999564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENG_Rest_natural_gas_fired_combustion_turbine_1,1,1338.4,7.121125282647768e-9,0.0,1338.3999999928787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENG_Rest_natural_gas_fired_combustion_turbine_2,1,624.4,1.1292659031130828e-8,0.0,624.3999999887073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_A_natural_gas_fired_combustion_turbine_1,2,47.0,9.465377604677607e-9,0.0,46.99999999053462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_B_natural_gas_fired_combustion_turbine_1,3,6.2,1.2672239394769009e-8,0.0,6.199999987327761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_F_natural_gas_fired_combustion_turbine_1,6,4.4,1.2669750943955376e-8,0.0,4.39999998733025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_G-I_natural_gas_fired_combustion_turbine_1,7,83.8,1.267846111167486e-8,0.0,83.79999998732154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_G-I_natural_gas_fired_combustion_turbine_2,7,24.8,1.0121416812289946e-8,0.0,24.799999989878582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_J_natural_gas_fired_combustion_turbine_1,8,1636.8,1.1784681809620677e-8,0.0,1636.7999999882154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_J_natural_gas_fired_combustion_turbine_2,8,756.4,1.1317511589642065e-8,0.0,756.3999999886825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_K_natural_gas_fired_combustion_turbine_1,9,335.2,1.1291645942532584e-8,0.0,335.1999999887084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_K_natural_gas_fired_combustion_turbine_2,9,533.5,1.2632265177484027e-8,0.0,533.4999999873678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJM_EMAC_natural_gas_fired_combustion_turbine_1,10,873.3,7.539915887782957e-9,0.0,873.29999999246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJM_EMAC_natural_gas_fired_combustion_turbine_2,10,2932.1,7.1013012087619034e-9,0.0,2932.099999992898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJM_Rest_natural_gas_fired_combustion_turbine_1,11,855.9,7.539642616499302e-9,0.0,855.8999999924604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJM_Rest_natural_gas_fired_combustion_turbine_2,11,25197.9,7.039544879653092e-9,0.0,25197.899999992962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJM_Rest_natural_gas_fired_combustion_turbine_3,11,834.5,7.160000183557186e-9,0.0,834.49999999284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJM_Rest_natural_gas_fired_combustion_turbine_4,11,361.9,7.539888388363027e-9,0.0,361.8999999924601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_A_natural_gas_steam_turbine_1,2,45.0,8.261257906050541e-9,0.0,44.99999999173874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_B_natural_gas_steam_turbine_1,3,143.8,143.79971377278028,0.0,0.000286227219731261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
