Zone,cluster,NewCap,unnamed: 0,net_cluster,region,tech,case,resource,zone,endcap,endenergycap,endchargecap,newcap,retcap,newenergycap,retenergycap,newchargecap,retchargecap,iter,resource_type,policy,cpa_id,lcoe,area,latitude,longitude,interconnect_annuity,state,m_landcover,m_primefarmland,exfacil,plfacil,m_hmi,m_popden,cpa_mw,name,cluster
1.0,6,0.0001487088983945,135822,6,NY_Z_C&E,Onshore_Wind,0.1_12,NY_Z_C&E_landbasedwind_class1_moderate_6,4,935.3999951,0,0,935.3999951,0,0,0,0,0,5,Onshore_Wind,1,71532,54.350464,40.24999893,43.38968113,-76.02894435,9952.885,New York,41.0,1.0,0.0,0.0,0.304935912,7.931677019,5.43375,Onshore_WindNY_Z_C&E6_5,6
2.0,1,0.000421248893784,9710,1,NY_Z_C&E,Onshore_Wind,0.1_100,NY_Z_C&E_landbasedwind_class1_moderate_1,4,857.8999946,0,0,857.8999946,0,0,0,0,0,3,Onshore_Wind,1,71559,45.434727,55.74999985,43.53275915,-75.46780561,11932.202,New York,41.0,1.0,0.0,0.0,0.329781653,2.66367713,30.105,Onshore_WindNY_Z_C&E1_3,1
2.0,2,6768.966505552252,62378,2,NY_Z_C&E,Onshore_Wind,0.1_12,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3000001,0,0,699.3000001,0,0,0,0,0,5,Onshore_Wind,1,72114,41.97906,45.50000014,42.85557458,-75.3600095,10784.156,New York,41.0,1.0,0.0,0.0,0.361638559,4.703296703,12.285,Onshore_WindNY_Z_C&E2_5,2
2.0,2,6768.966505552252,63183,2,NY_Z_C&E,Onshore_Wind,0.1_11,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3,0,0,699.3,0,0,0,0,0,4,Onshore_Wind,1,72114,41.97906,45.50000014,42.85557458,-75.3600095,10784.156,New York,41.0,1.0,0.0,0.0,0.361638559,4.703296703,12.285,Onshore_WindNY_Z_C&E2_4,2
2.0,2,6768.966505552252,62833,2,NY_Z_C&E,Onshore_Wind,0.1_100,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3000002,0,0,699.3000002,0,0,0,0,0,3,Onshore_Wind,1,72114,41.97906,45.50000014,42.85557458,-75.3600095,10784.156,New York,41.0,1.0,0.0,0.0,0.361638559,4.703296703,12.285,Onshore_WindNY_Z_C&E2_3,2
2.0,2,6768.966505552252,62623,2,NY_Z_C&E,Onshore_Wind,0.1_16,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3,0,0,699.3,0,0,0,0,0,9,Onshore_Wind,1,72114,41.97906,45.50000014,42.85557458,-75.3600095,10784.156,New York,41.0,1.0,0.0,0.0,0.361638559,4.703296703,12.285,Onshore_WindNY_Z_C&E2_9,2
2.0,2,6768.966505552252,64360,2,NY_Z_C&E,Onshore_Wind,0.1_1,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.2999997,0,0,699.2999997,0,0,0,0,0,1,Onshore_Wind,1,72114,41.97906,45.50000014,42.85557458,-75.3600095,10784.156,New York,41.0,1.0,0.0,0.0,0.361638559,4.703296703,12.285,Onshore_WindNY_Z_C&E2_1,2
2.0,2,6768.966505552252,62625,2,NY_Z_C&E,Onshore_Wind,0.1_16,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3,0,0,699.3,0,0,0,0,0,9,Onshore_Wind,1,71574,42.18171,19.75000002,43.70752705,-75.51188532,15289.347,New York,41.0,0.0,1.0,0.0,0.282060738,0.670886076,31.995,Onshore_WindNY_Z_C&E2_9,2
2.0,2,6768.966505552252,64362,2,NY_Z_C&E,Onshore_Wind,0.1_1,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.2999997,0,0,699.2999997,0,0,0,0,0,1,Onshore_Wind,1,71574,42.18171,19.75000002,43.70752705,-75.51188532,15289.347,New York,41.0,0.0,1.0,0.0,0.282060738,0.670886076,31.995,Onshore_WindNY_Z_C&E2_1,2
2.0,2,6768.966505552252,62835,2,NY_Z_C&E,Onshore_Wind,0.1_100,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3000002,0,0,699.3000002,0,0,0,0,0,3,Onshore_Wind,1,71574,42.18171,19.75000002,43.70752705,-75.51188532,15289.347,New York,41.0,0.0,1.0,0.0,0.282060738,0.670886076,31.995,Onshore_WindNY_Z_C&E2_3,2
2.0,2,6768.966505552252,62380,2,NY_Z_C&E,Onshore_Wind,0.1_12,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3000001,0,0,699.3000001,0,0,0,0,0,5,Onshore_Wind,1,71574,42.18171,19.75000002,43.70752705,-75.51188532,15289.347,New York,41.0,0.0,1.0,0.0,0.282060738,0.670886076,31.995,Onshore_WindNY_Z_C&E2_5,2
2.0,2,6768.966505552252,63185,2,NY_Z_C&E,Onshore_Wind,0.1_11,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3,0,0,699.3,0,0,0,0,0,4,Onshore_Wind,1,71574,42.18171,19.75000002,43.70752705,-75.51188532,15289.347,New York,41.0,0.0,1.0,0.0,0.282060738,0.670886076,31.995,Onshore_WindNY_Z_C&E2_4,2
2.0,2,6768.966505552252,64366,2,NY_Z_C&E,Onshore_Wind,0.1_1,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.2999997,0,0,699.2999997,0,0,0,0,0,1,Onshore_Wind,1,72021,42.49412,50.7500009,42.82882638,-75.67515424,7784.0054,New York,41.0,1.0,0.0,0.0,0.488381604,6.926108374,6.8512497,Onshore_WindNY_Z_C&E2_1,2
2.0,2,6768.966505552252,63189,2,NY_Z_C&E,Onshore_Wind,0.1_11,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3,0,0,699.3,0,0,0,0,0,4,Onshore_Wind,1,72021,42.49412,50.7500009,42.82882638,-75.67515424,7784.0054,New York,41.0,1.0,0.0,0.0,0.488381604,6.926108374,6.8512497,Onshore_WindNY_Z_C&E2_4,2
2.0,2,6768.966505552252,62629,2,NY_Z_C&E,Onshore_Wind,0.1_16,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3,0,0,699.3,0,0,0,0,0,9,Onshore_Wind,1,72021,42.49412,50.7500009,42.82882638,-75.67515424,7784.0054,New York,41.0,1.0,0.0,0.0,0.488381604,6.926108374,6.8512497,Onshore_WindNY_Z_C&E2_9,2
2.0,2,6768.966505552252,62384,2,NY_Z_C&E,Onshore_Wind,0.1_12,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3000001,0,0,699.3000001,0,0,0,0,0,5,Onshore_Wind,1,72021,42.49412,50.7500009,42.82882638,-75.67515424,7784.0054,New York,41.0,1.0,0.0,0.0,0.488381604,6.926108374,6.8512497,Onshore_WindNY_Z_C&E2_5,2
2.0,2,6768.966505552252,62839,2,NY_Z_C&E,Onshore_Wind,0.1_100,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3000002,0,0,699.3000002,0,0,0,0,0,3,Onshore_Wind,1,72021,42.49412,50.7500009,42.82882638,-75.67515424,7784.0054,New York,41.0,1.0,0.0,0.0,0.488381604,6.926108374,6.8512497,Onshore_WindNY_Z_C&E2_3,2
2.0,2,6768.966505552252,62840,2,NY_Z_C&E,Onshore_Wind,0.1_100,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3000002,0,0,699.3000002,0,0,0,0,0,3,Onshore_Wind,1,72302,42.5317,73.50000035,42.79258338,-76.37900726,6147.987,New York,82.0,1.0,0.0,0.0,0.545617002,6.353741497,9.9225,Onshore_WindNY_Z_C&E2_3,2
2.0,2,6768.966505552252,64367,2,NY_Z_C&E,Onshore_Wind,0.1_1,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.2999997,0,0,699.2999997,0,0,0,0,0,1,Onshore_Wind,1,72302,42.5317,73.50000035,42.79258338,-76.37900726,6147.987,New York,82.0,1.0,0.0,0.0,0.545617002,6.353741497,9.9225,Onshore_WindNY_Z_C&E2_1,2
2.0,2,6768.966505552252,62630,2,NY_Z_C&E,Onshore_Wind,0.1_16,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3,0,0,699.3,0,0,0,0,0,9,Onshore_Wind,1,72302,42.5317,73.50000035,42.79258338,-76.37900726,6147.987,New York,82.0,1.0,0.0,0.0,0.545617002,6.353741497,9.9225,Onshore_WindNY_Z_C&E2_9,2
